codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental,departamento_origen,establecimiento_norm,establecimiento_nota,direccion_norm,direccion_nota,telefonos_list,telefono_norm,codigo_flag_valido,distrito_flag_valido,departamento_norm,municipio_norm,id_establecimiento_canon,llave_canonica
00-11-0068-46,01-640,CIUDAD CAPITAL,ZONA 11,CEEX-FORT LIC. ELISEO DANIEL ALVAREZ NATARENO,51 CALLE 4-96 COLONIA CASTAÑAS ZONA 11,41206441,ELISEO DANIEL ALVAREZ NATARENO,LUIS ALFREDO ROJAS ROJAS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,GUATEMALA SUR,CiudadCapital,Ceex-fort LIC. Eliseo Daniel Alvarez Natareno,,51 CALLE 4 - 96 COLONIA CASTAÑAS ZONA 11,,['+502 4120 6441'],+502 4120 6441,True,True,CIUDAD CAPITAL,ZONA 11,CEEX FORT LIC ELISEO DANIEL ALVAREZ NATARENO 51 CALLE 4 96 COLONIA CASTANAS ZONA 11 ZONA 11,-8387357222006794209
09-24-0035-46,09-012,QUETZALTENANGO,PALESTINA DE LOS ALTOS,CEEX-PALESTINA DE LOS ALTOS,"A LA PAR DEL VIVERO FERESTAL MUNICIPAL, ZONA 2",32278427,JUAN JOSE COLOP COLOP,INGRID MARLENY MÉNDEZ ROMERO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUETZALTENANGO,Quetzaltenango,Ceex-palestina de los Altos,,"A LA PAR DEL VIVERO FERESTAL MUNICIPAL, ZONA 2",,['+502 3227 8427'],+502 3227 8427,True,True,QUETZALTENANGO,PALESTINA DE LOS ALTOS,CEEX PALESTINA DE LOS ALTOS A LA PAR DEL VIVERO FERESTAL MUNICIPAL ZONA 2 PALESTINA DE LOS ALTOS,-3179788361081883358
00-11-0091-46,01-640,CIUDAD CAPITAL,ZONA 11,"""CEEX - SECRETARIA DE BIENESTAR SOCIAL DE LA PRESIDENCIA DE LA REPÚBLICA"", SEDE COLONIA LAS CHARCAS",32A. CALLE 9-34,42209306,ELISEO DANIEL ALVAREZ NATARENO,SUSAN GLORIANA SALAZAR FIGUEROA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA SUR,CiudadCapital,"Ceex - Secretaria de Bienestar Social de la Presidencia de la República, Sede Colonia las Charcas",,32A. CALLE 9 - 34,,['+502 4220 9306'],+502 4220 9306,True,True,CIUDAD CAPITAL,ZONA 11,CEEX SECRETARIA DE BIENESTAR SOCIAL DE LA PRESIDENCIA DE LA REPUBLICA SEDE COLONIA LAS CHARCAS 32A CALLE 9 34 ZONA 11,7362363653030941634
01-15-6187-46,01-213,GUATEMALA,VILLA NUEVA,CENTRO CRISTIANO EDUCACIONAL VIDA S.A.,SAN ANTONIO EL FRUTAL ZONA 6,66356712,MARTHA SUSANA ROBLES CHAVEZ,ISIS SAMANDA BARILLAS GUZMAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,Guatemala,Centro Cristiano Educacional Vida S.a.,,SAN ANTONIO EL FRUTAL ZONA 6,,['+502 6635 6712'],+502 6635 6712,True,True,GUATEMALA,VILLA NUEVA,CENTRO CRISTIANO EDUCACIONAL VIDA S A SAN ANTONIO EL FRUTAL ZONA 6 VILLA NUEVA,-2662600881124382770
01-15-9501-46,01-219,GUATEMALA,VILLA NUEVA,CENTRO CULTURAL AVE MARIA DE LA ASUNCION,LOTE 33 RESIDENCIALES LA SELVA CIUDAD SAN CRISTOBAL ZONA 8,24786391,DAVID SALOMON MEJIA SAMAYOA,JULIO RODOLFO GUERRA GUTIÉRREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,Guatemala,Centro Cultural Ave Maria de la Asuncion,,LOTE 33 RESIDENCIALES LA SELVA CIUDAD SAN CRISTOBAL ZONA 8,,['+502 2478 6391'],+502 2478 6391,True,True,GUATEMALA,VILLA NUEVA,CENTRO CULTURAL AVE MARIA DE LA ASUNCION LOTE 33 RESIDENCIALES LA SELVA CIUDAD SAN CRISTOBAL ZONA 8 VILLA NUEVA,-12256734631088103
15-03-0778-46,15-031,BAJA VERAPAZ,RABINAL,CENTRO CULTURAL DE AMERICA,3 CALLE 2-87 ZONA 2,79388718,EDGAR OVIDIO SIC XITUMUL,FABIO RAXCACO ISMALEJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,BajaVerapaz,Centro Cultural de America,,3 CALLE 2 - 87 ZONA 2,,['+502 7938 8718'],+502 7938 8718,True,True,BAJA VERAPAZ,RABINAL,CENTRO CULTURAL DE AMERICA 3 CALLE 2 87 ZONA 2 RABINAL,-2636054227317559104
00-01-6999-46,01-316,CIUDAD CAPITAL,ZONA 1,CENTRO CULTURAL DE LAS AMERICAS NO. 3,2A. AV. 12-23,22384217,CARLOS HUMBERTO GONZALEZ DE LEON,HUGO VALDEMAR RIVAS MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA|DOBLE|VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,CiudadCapital,Centro Cultural de las Americas No. 3,,2A. AVENIDA 12 - 23,,['+502 2238 4217'],+502 2238 4217,True,True,CIUDAD CAPITAL,ZONA 1,CENTRO CULTURAL DE LAS AMERICAS NO 3 2A AVENIDA 12 23 ZONA 1,6630752468798353921
01-17-8771-46,01-204,GUATEMALA,SAN MIGUEL PETAPA,CENTRO CULTURAL SAGRADA FAMILIA NO. 1,LOTE 4 MANZANA A SECTOR 2 VILLAHERMOSA II,24484100,ALFREDO NOHELI TEMAJ MORALES,GLORIA ESTELA GUERRA GUTIÉRREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,Guatemala,Centro Cultural Sagrada Familia No. 1,,LOTE 4 MANZANA A SECTOR 2 VILLAHERMOSA II,,['+502 2448 4100'],+502 2448 4100,True,True,GUATEMALA,SAN MIGUEL PETAPA,CENTRO CULTURAL SAGRADA FAMILIA NO 1 LOTE 4 MANZANA A SECTOR 2 VILLAHERMOSA II SAN MIGUEL PETAPA,-4961928474482183014
01-17-0289-46,01-220,GUATEMALA,SAN MIGUEL PETAPA,CENTRO CULTURAL SAGRADA FAMILIA NO. 2,"LOTES 64, 65 Y 66 MANZANA A, SECTOR 10, PRADOS DE VILLA HERMOSA, ZONA 7",40,GRELDER ARCELI AGUILAR AVILA,RINA ANGELICA ILLESCAS FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,A DISTANCIA,GUATEMALA SUR,Guatemala,Centro Cultural Sagrada Familia No. 2,,"LOTES 64, 65 Y 66 MANZANA A, SECTOR 10, PRADOS DE VILLA HERMOSA, ZONA 7",,[],,True,True,GUATEMALA,SAN MIGUEL PETAPA,CENTRO CULTURAL SAGRADA FAMILIA NO 2 LOTES 64 65 Y 66 MANZANA A SECTOR 10 PRADOS DE VILLA HERMOSA ZONA 7 SAN MIGUEL PETAPA,699487955204988159
00-21-0095-46,01-635,CIUDAD CAPITAL,ZONA 21,"CENTRO DE APRENDIZAJE A DISTANCIA EDUCATIVO ""CADE""","8A. CALLE 10-30, COLONIA VÁSQUEZ",57044487,NATALY FABIOLA SOTO ESPAÑA DE TURCIOS,MARCO TULIO ROBLERO OSORIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA|SIN JORNADA,A DISTANCIA,GUATEMALA SUR,CiudadCapital,Centro de Aprendizaje a Distancia Educativo Cade,,"8A. CALLE 10 - 30, COLONIA VÁSQUEZ",,['+502 5704 4487'],+502 5704 4487,True,True,CIUDAD CAPITAL,ZONA 21,CENTRO DE APRENDIZAJE A DISTANCIA EDUCATIVO CADE 8A CALLE 10 30 COLONIA VASQUEZ ZONA 21,3415318772032139831
01-08-0407-46,01-609,GUATEMALA,MIXCO,CENTRO DE APRENDIZAJE BILINGÜE NO. 1,"7A. CALLE 3-96 SECTOR II, COLONIA. BALCONES CIUDAD SAN CRISTOBAL ZONA 8",25048292,SILVIA HORTENSIA GONZALEZ MARTINEZ,GRYSELDA RAMIREZ BARRIENTOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,Guatemala,Centro de Aprendizaje Bilingüe No. 1,,"7A. CALLE 3 - 96 SECTOR II, COLONIA. BALCONES CIUDAD SAN CRISTOBAL ZONA 8",,['+502 2504 8292'],+502 2504 8292,True,True,GUATEMALA,MIXCO,CENTRO DE APRENDIZAJE BILINGUE NO 1 7A CALLE 3 96 SECTOR II COLONIA BALCONES CIUDAD SAN CRISTOBAL ZONA 8 MIXCO,3753646396763336041
01-08-0548-46,01-609,GUATEMALA,MIXCO,CENTRO DE APRENDIZAJE BILINGUE NO. 1,7A. CALLE 3-96 ZONA 8 BALCONES II SAN CRISTOBAL,25048292,SILVIA HORTENSIA GONZALEZ MARTINEZ,GRYSELDA RAMIREZ BARRIENTOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA OCCIDENTE,Guatemala,Centro de Aprendizaje Bilingue No. 1,,7A. CALLE 3 - 96 ZONA 8 BALCONES II SAN CRISTOBAL,,['+502 2504 8292'],+502 2504 8292,True,True,GUATEMALA,MIXCO,CENTRO DE APRENDIZAJE BILINGUE NO 1 7A CALLE 3 96 ZONA 8 BALCONES II SAN CRISTOBAL MIXCO,3737512974418646815
00-02-0044-46,01-301,CIUDAD CAPITAL,ZONA 2,CENTRO DE APRENDIZAJE INTEGRAL EL CEDAPRI VESPERTINO,"13 AVENIDA 10-20, CIUDAD NUEVA",22091616,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,ELSA DELIA CONTRERAS NÁJERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,CiudadCapital,Centro de Aprendizaje Integral el Cedapri Vespertino,,"13 AVENIDA 10 - 20, CIUDAD NUEVA",,['+502 2209 1616'],+502 2209 1616,True,True,CIUDAD CAPITAL,ZONA 2,CENTRO DE APRENDIZAJE INTEGRAL EL CEDAPRI VESPERTINO 13 AVENIDA 10 20 CIUDAD NUEVA ZONA 2,-9202240867502410892
01-08-0995-46,01-639,GUATEMALA,MIXCO,CENTRO DE APRENDIZAJE ISOS,"14 AVENIDA 0-81 URBANIZACION GONZALEZ, ZONA 2 MIXCO",39914060,LUDVIN RICARDO URRUTIA LORENTI,DILIA MORALES HERNÁNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA|DOBLE,A DISTANCIA,GUATEMALA OCCIDENTE,Guatemala,Centro de Aprendizaje Isos,,"14 AVENIDA 0 - 81 URBANIZACION GONZALEZ, ZONA 2 MIXCO",,['+502 3991 4060'],+502 3991 4060,True,True,GUATEMALA,MIXCO,CENTRO DE APRENDIZAJE ISOS 14 AVENIDA 0 81 URBANIZACION GONZALEZ ZONA 2 MIXCO MIXCO,-5302802106139881013
01-08-0964-46,01-639,GUATEMALA,MIXCO,CENTRO DE APRENDIZAJES ISOS,"14 AVENIDA 0-81, URBANIZACIÓN GONZÁLEZ ZONA 2",39914060,LUDVIN RICARDO URRUTIA LORENTI,DILIA MORALES HERNÁNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA|DOBLE,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA OCCIDENTE,Guatemala,Centro de Aprendizajes Isos,,"14 AVENIDA 0 - 81, URBANIZACIÓN GONZÁLEZ ZONA 2",,['+502 3991 4060'],+502 3991 4060,True,True,GUATEMALA,MIXCO,CENTRO DE APRENDIZAJES ISOS 14 AVENIDA 0 81 URBANIZACION GONZALEZ ZONA 2 MIXCO,5603618314390466557
01-10-0286-46,01-639,GUATEMALA,SAN JUAN SACATEPEQUEZ,CENTRO DE COMPUTACIÓN CEI-PC LINDA VISTA,"LOTE 19 MANZANA A, LINDA VISTA I",66104454,LUDVIN RICARDO URRUTIA LORENTI,JOSÉ DOMINGO PÉREZ MESIAS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE,Guatemala,Centro de Computación Cei-pc Linda Vista,,"LOTE 19 MANZANA A, LINDA VISTA I",,['+502 6610 4454'],+502 6610 4454,True,True,GUATEMALA,SAN JUAN SACATEPEQUEZ,CENTRO DE COMPUTACION CEI PC LINDA VISTA LOTE 19 MANZANA A LINDA VISTA I SAN JUAN SACATEPEQUEZ,-7384038890868779488
01-10-0136-46,01-636,GUATEMALA,SAN JUAN SACATEPEQUEZ,CENTRO DE COMPUTACION CEI-PC,LOTE 19 MANZANA A LINDA VISTA I CIUDAD QUETZAL SAN JUAN SACATEPÉQUEZ,66647624,MARIO ALEJANDRO NAJARRO GARCIA SALAS,JOSÉ DOMINGO PÉREZ MESÍAS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE,Guatemala,Centro de Computacion Cei-pc,,LOTE 19 MANZANA A LINDA VISTA I CIUDAD QUETZAL SAN JUAN SACATEPÉQUEZ,,['+502 6664 7624'],+502 6664 7624,True,True,GUATEMALA,SAN JUAN SACATEPEQUEZ,CENTRO DE COMPUTACION CEI PC LOTE 19 MANZANA A LINDA VISTA I CIUDAD QUETZAL SAN JUAN SACATEPEQUEZ SAN JUAN SACATEPEQUEZ,-2637957519025790608
01-10-9545-46,01-410,GUATEMALA,SAN JUAN SACATEPEQUEZ,CENTRO DE COMPUTACION CEI-PC,"LOTE 19, MANZANA A , LINDA VISTA I",58662894,CEDWIN EUGENIO CRUZ BUCARO,JOSÉ LUIS VEGA GUEVARA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE,Guatemala,Centro de Computacion Cei-pc,,"LOTE 19, MANZANA A, LINDA VISTA I",,['+502 5866 2894'],+502 5866 2894,True,True,GUATEMALA,SAN JUAN SACATEPEQUEZ,CENTRO DE COMPUTACION CEI PC LOTE 19 MANZANA A LINDA VISTA I SAN JUAN SACATEPEQUEZ,2515327635375937640
01-10-0279-46,01-639,GUATEMALA,SAN JUAN SACATEPEQUEZ,CENTRO DE COMPUTACIÓN CEI-PC VILLAS,LOTE 14 MANZANA 61 VILLAS DEL QUETZAL,46439849,LUDVIN RICARDO URRUTIA LORENTI,ANGÉLICA MARINA ARÉVALO CERÓN,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE,Guatemala,Centro de Computación Cei-pc Villas,,LOTE 14 MANZANA 61 VILLAS DEL QUETZAL,,['+502 4643 9849'],+502 4643 9849,True,True,GUATEMALA,SAN JUAN SACATEPEQUEZ,CENTRO DE COMPUTACION CEI PC VILLAS LOTE 14 MANZANA 61 VILLAS DEL QUETZAL SAN JUAN SACATEPEQUEZ,6135511253494808711
01-08-0825-46,01-603,GUATEMALA,MIXCO,"CENTRO DE DESARROLLO EDUCATIVO SAN ""JOSÉ""","7A. CALLE 4-09 COLONIA JARDINES DE SAN JUAN II, ZONA 7",24329922,ROSA ALBELIA ARDON DE MOTTA,KAROL ALEJANDRA CHÁVEZ JIMÉNEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA|MATUTINA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),GUATEMALA OCCIDENTE,Guatemala,Centro de Desarrollo Educativo San José,,"7A. CALLE 4 - 09 COLONIA JARDINES DE SAN JUAN II, ZONA 7",,['+502 2432 9922'],+502 2432 9922,True,True,GUATEMALA,MIXCO,CENTRO DE DESARROLLO EDUCATIVO SAN JOSE 7A CALLE 4 09 COLONIA JARDINES DE SAN JUAN II ZONA 7 MIXCO,-2883271271225880185
01-08-8520-46,01-603,GUATEMALA,MIXCO,CENTRO DE DESARROLLO EDUCATIVO SAN JOSE,7A. CALLE 4-09 JARDINES DE SAN JUAN II ZONA 7,24329922,ROSA ALBELIA ARDON DE MOTTA,KAROL ALEJANDRA CHÁVEZ JIMÉNEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE|VESPERTINA,FIN DE SEMANA,GUATEMALA OCCIDENTE,Guatemala,Centro de Desarrollo Educativo San Jose,,7A. CALLE 4 - 09 JARDINES DE SAN JUAN II ZONA 7,,['+502 2432 9922'],+502 2432 9922,True,True,GUATEMALA,MIXCO,CENTRO DE DESARROLLO EDUCATIVO SAN JOSE 7A CALLE 4 09 JARDINES DE SAN JUAN II ZONA 7 MIXCO,3841737664171327496
18-01-0402-46,18-009,IZABAL,PUERTO BARRIOS,CENTRO DE DESARROLLO HUMANO TECNOLOGICO ASOCIACION GRUPO CEIBA,"COLONIA SAN AGUSTIN, ALDEA SANTO TOMAS DE CASTILLA",41310547,ANA MARIBEL CASTILLO DIAZ,MARIA DEL CARMEN URIZAR CATALAN,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,IZABAL,Izabal,Centro de Desarrollo Humano Tecnologico Asociacion Grupo Ceiba,,"COLONIA SAN AGUSTIN, ALDEA SANTO TOMAS DE CASTILLA",,['+502 4131 0547'],+502 4131 0547,True,True,IZABAL,PUERTO BARRIOS,CENTRO DE DESARROLLO HUMANO TECNOLOGICO ASOCIACION GRUPO CEIBA COLONIA SAN AGUSTIN ALDEA SANTO TOMAS DE CASTILLA PUERTO BARRIOS,3961400584699855156
12-12-0095-46,12-109,SAN MARCOS,NUEVO PROGRESO,CENTRO DE EDCACIÓN EXTRAESCOLAR-CEEX-,NUEVO PROGRESO,57090776,VIOLETA FLORIDALMA FUENTES QUIROA,ROXANA CELESTE LÓPEZ SÁNCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,SAN MARCOS,SanMarcos,Centro de Edcación Extraescolar-ceex-,,NUEVO PROGRESO,,['+502 5709 0776'],+502 5709 0776,True,True,SAN MARCOS,NUEVO PROGRESO,CENTRO DE EDCACION EXTRAESCOLAR CEEX NUEVO PROGRESO NUEVO PROGRESO,-3661416228398527611
12-05-0101-46,12-109,SAN MARCOS,SAN MIGUEL IXTAHUACAN,CENTRO DE EDCACIÓN EXTRAESCOLAR-CEEX-,SAN MIGUEL IXTAHUACÁN,57243796,VIOLETA FLORIDALMA FUENTES QUIROA,ANGELA DILMA AJPOP PAZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,SAN MARCOS,SanMarcos,Centro de Edcación Extraescolar-ceex-,,SAN MIGUEL IXTAHUACÁN,,['+502 5724 3796'],+502 5724 3796,True,True,SAN MARCOS,SAN MIGUEL IXTAHUACAN,CENTRO DE EDCACION EXTRAESCOLAR CEEX SAN MIGUEL IXTAHUACAN SAN MIGUEL IXTAHUACAN,5625874150579578457
